question,answer
['How many total credit hours are required for a Computer Science degree at UGA?'],The Computer Science B.S. degree requires 120 total credit hours to graduate.
['What are the entrance requirements for the Computer Science major at UGA?'],To be admitted into the major
['What is the minimum grade required for major courses?'],Students must earn a grade of C (2.0) or better in all required major courses.
['How many upper-division credit hours are required?'],A minimum of 21 upper-division credit hours in the major and 39 upper-division hours overall are required.
['What are the Foundation Courses required for Computer Science at UGA?'],Students must complete 9 hours of Foundation Courses: ENGL 1101
['What science courses are required for the Computer Science major?'],Students must take 7–8 hours of Science Courses
['What is the required Quantitative Reasoning course?'],The preferred course for Quantitative Reasoning (3–4 hours) is CSCI 1301-1301L.
['Do I need to take a foreign language?'],Yes
['What are the Social Science requirements?'],Students need 9 hours of Social Sciences
['What courses are required in Area VI for Computer Science?'],The following courses must be completed: CSCI 1302
['What are the major required courses for the Computer Science degree?'],The core required courses include CSCI 1301-1301L
['How many Computer Science electives do I need?'],Students must take 12 hours of 4000/6000-level CSCI courses
['What are the major-related electives?'],Students must take 11 hours from approved Computer Science (CSCI)
['Do I need a team-based course?'],Yes
['How many general electives do I need?'],Students need 18 hours of general electives
['What areas of emphasis are available in the Computer Science program?'],Students can specialize in one of eight areas: Computer Systems
['What is the minimum GPA requirement for Computer Science students?'],Students must earn a C (2.0) or higher in all major-related coursework.
['What if I take a course that fulfills multiple requirements?'],Some courses may satisfy both major and general education requirements
['What happens if I transfer Computer Science credits?'],Transfer courses must go through individual review before being accepted toward Area VI and major requirements.
['What is the difference between Foundation Courses and Major Requirements?'],Foundation Courses are part of the General Education Core Curriculum
['What math courses are required for the Computer Science major?'],Students must take MATH 2250
['Do I need to take a lab science course?'],Yes
['How do I fulfill the Computing'],Ethics
['What are the Systems Design Group courses?'],Students must choose one from CSCI 4570
['What are the Application Design Group courses?'],Students must choose one from CSCI 4050 or CSCI 4370 to fulfill this requirement.
['Can major electives and major-related electives overlap?'],No
['What courses count toward the Major Electives requirement?'],Students must complete an additional 12 hours of CSCI 4000/6000-level courses
['What are the requirements for the Cybersecurity emphasis?'],Students must take CSCI 4250 and choose additional electives from CSCI 4730
['What is the team-based course requirement?'],Students must complete one teamwork-focused course such as CSCI 4050
['Can I take CSCI 4900/6900 for major elective credit?'],Yes
['What courses count toward the Artificial Intelligence emphasis?'],Students must take CSCI 4550 and select additional electives from CSCI 4070
['How do I fulfill the Applied Data Science emphasis?'],Students must complete 12 hours from courses such as CSCI 4350
