sentence,intent
"the english department at the university of georgia is a diverse scholarly community of more than 40 faculty, 70 graduate students, and more than 400 undergraduate majors and minors held together by a common commitment to preserving, transmitting, and extending the rich cultural legacy of the english language.",faculty_news
"the diversity of the faculty's interests and research methods helps ensure that an english major at the university of georgia develops a sophisticated, practical grasp of the central role that language plays in the preservation of human institutions.",faculty_news
"the graduate faculty in african american and multicultural studies conduct research and teaching focused on the literature, culture, and music of people of color in the united states.",faculty_news
"faculty in this area also hold joint appointments or affiliations with a variety of programs at the university of georgia, including the institute for african american studies, the institute of native american studies, latin american and caribbean studies institute, the institute for women's studies, and the creative writing program.",faculty_news
"at the langston hughes review , students serve as editorial assistants and manuscript reviewers, and they have published revised conference and seminar papers for publication in this journal.",announce_lecture
"graduate students in the area can work in unpaid research assistantships to develop instructional components of the civil rights digital library initiative , an online project that features archival footage from the university's walb and wsb newsfilm collections.",student_opportunities
"research assistants for the crdl have published essays on african american literature, film, and culture for the new georgia encyclopedia and in reference volumes for national presses.",student_opportunities
"additionally, graduate students have helped organize and/or participated in recent events such as new voices in american literature: a multicultural symposium (2007), native american literary nationalism conference (2007), black poets lean south: a cave canem symposium (2008), native american & indigenous studies association (2008), and beyond the movement: global and contemporary freedom struggles (2009).",announce_event
"faculty in the area also administer two list-serves - asail, the national list for the association of the study of american indian literature, and msis-l, a regional list for multicultural studies scholars - which both provide forums where our students can ask research questions, get assistance with problems in the classroom, stay abreast of current debates and publications, and find calls for papers for conferences and publications.",announce_event
"the richard b. russell library houses photographs, interview transcripts, documentary films, and other archival materials of the foot soldier project for civil rights studies .",student_opportunities
"the digital library of georgia of georgia includes historic african american newspapers and books, blues and vaudeville selections from african american theater, southeastern native american documents, including a digitized, searchable version of the cherokee phoenix, and other relevant databases.in addition to news film of the civil rights era, the walter j. brown media archives contains amateur movies, peabody award-winning documentary programs, and television shows featuring topics in african american and native american studies.",recognize_award
"in english or its equivalent, and a solid undergraduate grade-point average (at least a 3.0), especially in english courses (3.65 or better), as well as positive letters of recommendation and other evidence of scholastic achievement, including proficiency in writing.",recognize_award
course work.,ask_academic_program
program at the university of georgia encourages students to take courses in a variety of areas to broaden and deepen their literary and critical backgrounds.,ask_academic_program
"the program offers a two-year degree, which requires 30 hours of course work (one course is three hours of credit), at least three hours of which must represent research on their thesis.",ask_academic_program
students will complete a core requirement of one course from each of three literary divisions: students will also specialize in an area of concentration (defined as three related courses) from one of our thematic arcs.,ask_academic_program
students will round out their program of study with a course from another thematic arc plus two electives.,ask_academic_program
major professors and advisory committees help students plan appropriate courses of study and otherwise offer advice and encouragement.,faculty_news
"at the end of their course work, students must pass an oral examination covering their course of study, a portfolio of three essays written in their courses, and a selective list of major works studied.",ask_academic_program
the student's major professor will offer guidance on selecting the papers and compiling the reading list.,faculty_news
"it may take the form of an academic thesis (necessary for those considering a ph.d. program here or elsewhere); a pedagogical study, such as a curriculum or a teaching approach to a text; or a project employing methods from one of the concentrations, such as a computer program or an edition.",ask_academic_program
the thesis project is prepared under the guidance of the major professor and advising committee.,faculty_news
"to qualify for admission, an applicant must hold at least a b.a., and preferably an m.a., in english; have a high grade-point average (at least 3.0 in undergraduate studies), especially in english courses (3.65 or better in undergraduate english classes).",ask_graduate_program
"in addition, applicants should provide supportive letters of recommendation and other evidence of scholastic achievement, including proficiency in writing.",recognize_award
"while most of the applicants who are admitted in the ph.d. program already hold a master's degree in english, applicants with exceptional undergraduate records may be admitted directly into the doctoral program without an m.a.",ask_graduate_program
course work.,ask_academic_program
"will take a minimum of 27 hours of course work (one course is three hours of credit) before admission to candidacy, three hours of which must be dissertation research (9300).",ask_academic_program
"students entering the program with a bachelor's degree will take a minimum of 45 hours of course work, exclusive of research hours, before admission to candidacy.",ask_undergraduate_program
the program allows students to select courses and areas for examination with the advice and direction of a major professor and advisory committee.,faculty_news
"for each entering student, the graduate coordinator serves as the first advisor and then appoints a temporary major advisor, who provides counsel on course work and general directions for study.",ask_academic_program
"before the end of the first year of study, the student should select a major professor and constitute an advisory committee.",faculty_news
the chair of the advisory committee (the major professor) will usually be the prospective director of the dissertation.,faculty_news
for many students the success of their program of study depends on a and productive relationship with the major professor.,faculty_news
course requirements.,ask_academic_program
"spends the first two years of study completing course work, the third year studying for the written and oral examinations, and the fourth year completing the dissertation.",ask_academic_program
"devotes the first three years to course work, the fourth year to studying for the examination, and the final year to completing the dissertation.",ask_academic_program
"there are no required courses, but the student's advisory committee may recommend or require specific courses that provide a foundation for the dissertation, address particular gaps in a student's preparation, or round out a special area of concentration.",ask_contact_info
"doctoral students must fulfill the research skills requirement, which can be done so--as detailed in the graduate student handbook--in a variety of ways.",ask_graduate_program
new graduate students should plan to satisfy this portion of their degree requirements as soon after matriculation as possible.,ask_academic_program
these examinations are administered by a three-member examining committee (the student's advisory committee) appointed by the graduate coordinator in consultation with the student's major professor.,faculty_news
a reading list is composed for each area of examination in consultation with the examining faculty member of the advisory committee.,faculty_news
"the written portion of each of the three exams is typically a field survey or literature review of approximately 20 pages (excluding bibliography) of each examination area, as directed by the examining faculty member of the advisory committee.",faculty_news
the ph.d. is not a creative writing degree.,ask_academic_program
academic standards and program requirements for are the same for creative writing students as those for non-creative writing students (see above) with the following exception: creative writing students are expected to take at least one creative writing class per year (engl 6800 or 8800) as part of their required course work.,ask_academic_program
"sample courses include the first book of poetry, the art of translation, the art of the book, novel form, novel genres, and publishing and editing.",ask_academic_program
"8800: seminar in creative writing (3 hours---maximum 9 hours for credit) advanced instruction in the craft of writing, including all genres, such as fiction, non-fiction, and poetry.",announce_lecture
"the uga graduate program in english offers a full range of courses in american literary studies, including standard courses in literary periods, genres, and major authors, as well as topics courses; our approaches and methods are similarly diverse.",ask_graduate_program
"we routinely offer author seminars on major writers (william faulkner, ernest hemingway, langston hughes), literary movements (e.g.",announce_lecture
seminar topics change frequently according to faculty research interests.,announce_lecture
"in recent years our seminar offerings have included ""the harlem renaissance,"" ""american confessional poetry,"" ""the african american aesthetic,"" ""the southern renaissance and after,"" ""museums, modernism, memory,"" and ""encyclopedic form: the cantos and the arcades project.""",announce_lecture
the american literature faculty are a large and diverse group whose research and teaching interests constitute one of the department's core strengths.,faculty_news
three of the department's chaired professors teach in american literature.,faculty_news
"in addition to faculty strengths, graduate students specializing in american literature have access to a rich array of department and university resources.",faculty_news
"our primary research facility is the main library, which houses the hargrett rare book and manuscript library .",student_opportunities
"holdings in the hargrett include the manuscript collection ; the georgiana collection , documenting the history of georgia; the southeastern native american documents collection , an assortment of some 2000 documents and images from the years 1730-1842; the derenne georgia library , containing printed materials relating to the early history of georgia; a number of civil war diaries and related papers ; and an extensive broadside collection .",student_opportunities
"the library's electronic resources include literature online, women writers online, american periodicals series online, american poetry 1600-1900, early american fiction 1789-1875, early american imprints 1639-1819, project muse, and jstor, all accessible through galileo , the libraries' database collection.",student_opportunities
two english department lecture series bring in a regular rotation of scholars in the field of american literature.,announce_lecture
"the eidson lecture series, sponsored by j.o.",announce_grant
"eidson professor james nagel, and the lanier speakers series, sponsored by helen s. lanier professor jed rasula, have in recent years featured prominent americanists donald pizer, michael awkward, marjorie perloff, louis menand, and robert o'meally, among many others.",announce_grant
"the uga history department sponsors a regular colloquium series, the georgia workshop in early american history and culture .",announce_lecture
other colloquium series and reading groups are also available to students or faculty who wish to organize them.,announce_lecture
"a number of ongoing faculty research projects provide students with opportunities to earn money while developing their own research, editorial and technical skills.",faculty_news
"graduate students most recently have worked on the writings of henry david thoreau ; the hemingway letters project ; the digital library of georgia and its related multicultural archives ; the annual review of literature, american literary scholarship ; the civil rights digital library initiative ; and various lecture series.",announce_lecture
"in addition, uga graduate school research assistantships provide funding for graduate students to offer research help to american literature faculty who are writing books and articles.",faculty_news
"at the same time, faculty encourage students to pursue their own research projects, and a combination of funding sources from the department, university, and graduate school makes it possible for students to attend national and international conferences and to travel to archives to conduct research for their theses and dissertations.",announce_event
"a generous endowment from the hugh kenner professorship fund, established in 2006, enables graduate student travel: our first recipient visited the jack kerouac archives at the new york public library's berg collection; other sources have funded graduate student travel in the south to interview former civil rights activists.",recognize_award
"our students have recently presented papers at national and international conferences on henry james (venice, italy); ernest hemingway (ronda, spain); richard aldington (les saintes maries-de-la-mer, france); charles brockden brown (new york); robert penn warren (bowling green, ky); toni morrison (cincinnatti); and new directions in american indian research (chapel hill).",announce_event
"because of strong faculty encouragement and institutional support, our graduate students have been successful in publishing their work in prominent places.",faculty_news
they have also published essays in important journals and edited collections.,research_publication
"finally, the department offers many opportunities for advanced graduate students to teach undergraduate courses in american literature.",ask_academic_program
"working alone or as teaching assistants for professors, qualified graduate students may teach one of the sophomore american literature surveys and occasionally upper-division courses.",faculty_news
"the robert e. park postdoctoral teaching fellowship is awarded each year to our most qualified ph.d.s, providing graduates the opportunity to develop a full range of undergraduate courses.",recognize_award
consider the dual degree.,ask_academic_program
the department of english and the college of education have worked together to combine the degree requirements of the a.b and the b.s.ed.,ask_academic_program
the result is a dual degree in english/english education that provides the satisfaction of a broad-based liberal arts education plus pre-professional training and certification.,ask_academic_program
please contact jim kallerman (jkallerm@uga.edu) in the english department and laurie zielinski (lhaworth@uga.edu) in the college of education for information on advising.,ask_contact_info
please note: you must have the same tentative graduation date listed on both your english and english education majors in order to meet the requirements for dual degree status.,ask_academic_program
curriculum .,ask_academic_program
the phd in english literature with creative dissertation at the university of georgia is for writers who wish to advance their expertise and sophistication as scholars.,ask_graduate_program
over the course of the five-year program our students develop research specialties that complement their writing practice and prepare them professionally for a teaching career at the university or college level.,ask_academic_program
"our creative writing faculty are nationally and internationally recognized writers and translators with academic specializations in a variety of literary and theoretical fields, including genre theory, poetics, global literature, native american literature, african american literature, postcolonial literature, and translation studies.",recognize_award
"our program fosters serious conversations among our students about aesthetics and criticism, experience and culture, and politics and history—not only in the classroom but through public readings and lectures.",announce_lecture
"our faculty and students play an active role in the cultural life of athens, both as artists and organizers.",faculty_news
"during the first two years of study our ph.d. candidates select from course offerings in the english department, seminars that signal both our faculty’s recognition of intellectual and disciplinary change and our abiding commitment to traditional literary history.",announce_lecture
each student takes at least one creative writing course a year in addition to courses in various literary specialties.,ask_academic_program
a list of our department’s recent graduate course offerings can be found here .,ask_academic_program
"in recent years, cwp students have elected to take exams in fields such as, “a global history of the novel,” ”modernism and the historical avant-garde,” “aesthetic theory,” ”african american literature,” “latinx literature,” “ecopoetics,” “the southern novel,” “lyric theory,” and “science fiction.” typically the exam committee is headed by a member of the creative writing faculty and two other professors from the department at large, experts in the respective exam areas.",faculty_news
"once the student passes both oral and written exams, they are admitted officially to candidacy for the phd and begin working on their dissertation.",ask_graduate_program
the introduction is the author’s scholarly address to their audience.,ask_contact_info
this scholarship will be awarded to an outstanding english major.,recognize_award
"candidates, who are nominated by faculty, must have a gpa of 3.6 and have completed at least six upper-division english courses.",faculty_news
the winner must be enrolled at the time of winning the award.,recognize_award
faculty wishing to nominate a student should submit a letter of recommendation to the undergraduate office.,faculty_news
"nominees for the award will then be asked to submit the following: a committee appointed by the head in consultation with the undergraduate coordinator will judge the nominees based on their submitted materials, academic records, and faculty recommendations.",recognize_award
this scholarship is awarded to the outstanding rising junior in the english department.,recognize_award
"candidates, who are nominated by faculty, must have a gpa of 3.6. faculty wishing to nominate a student should submit a letter of recommendation to the undergraduate office.",faculty_news
"nominees for the award will then be asked to submit the following: a committee appointed by the head in consultation with the undergraduate coordinator judges the nominees based on on their submitted materials, academic record, and faculty recommendations.",recognize_award
"the english department awards three undergraduate essay prizes for critical writing at the upper-division level: one for an essay focused on primary materials, one for an essay that makes extensive use of secondary sources, and one, the anita morrison thomas essay award, for an essay devoted to a culturally diverse and/or female author.",recognize_award
faculty members may nominate no more than two essays written by their students.,faculty_news
"to nominate a student, the faculty member should submit the following to the undergraduate office, either in hard copy, or as digital attachments: every year, undergraduate students are invited to enter the annual virginia rucker walter poetry prize.",faculty_news
the competition is judged by a different uga creative writing ph.d. program alumna/us each year.,highlight_achievement
"if you have any questions, please email the creative writing program: cwp@uga.edu this scholarship provides a generous contribution toward uga tuition for the following year.",ask_contact_info
"candidates must have a gpa of 3.0 or higher, a declared major in english, and demonstrated financial need, as determined by uga’s office of student financial aid.",ask_undergraduate_program
only students who have applied for financial aid through osfa are eligible.,ask_financial_info
"preference is given for rising juniors or seniors, and recipients must be planning to enroll for the following fall term.",recognize_award
the undergraduate coordinator will send out a call for applications in january or february each year.,ask_admissions
applicants will be asked to submit: this scholarship provides a generous contribution toward uga tuition for the following year.,ask_financial_info
"candidates must be rising juniors or seniors, with a gpa of 3.3 or higher (above 3.5 is preferred), and a declared major in english.",ask_undergraduate_program
"preference is given to students with financial need, as determined by uga’s office of student financial aid.",ask_contact_info
recipients must be planning to enroll for the following fall term.,recognize_award
the undergraduate coordinator will send out a call for applications in january or february each year.,ask_admissions
"applicants will be asked to submit: named in honor of faculty member dr. r. baxter miller, this fund provides monetary awards for excellence in african american and multicultural literature by graduate and undergraduate students.",recognize_award
"the competition is open to undergraduate and graduate students in the department of english; students in african american studies and romance languages may also be considered, if the selection committee assesses their literary work as appropriate and competitive.",highlight_achievement
application packages should be submitted to the department head’s office.,ask_admissions
"to be eligible, candidates can not be graduating in may or august of the current year and must have a gpa of 3.3 or higher (preferably 3.5 in the major).",ask_academic_program
applications for this award should include: the creative writing program in the department of english runs the annual spark fellowship competition.,highlight_achievement
"the spark fellowship provides financial support of up to $4,000 for a student’s independent summer study abroad, involving the pursuit of a project that will combine creative writing and cultural translation.",announce_grant
the english department at the university of georgia offers both ma and phd degrees.,ask_graduate_program
our phd program is primarily intended for students pursuing a career in college and university teaching and research.,ask_graduate_program
"for further information, please see the prospective student section of our website, which also contains information on how to apply .",ask_admissions
