sentence,intent
"at the core of our discipline lie the complex skills of reading and writing, and though these can be productively applied to a wide range of professional goals our own work as scholars and teachers strives to deepen our understanding of the critical and creative imagination.",unknown
"a sympathetic participation in the verbal worlds of other times and places, drawing on the full range of linguistic tools, historical knowledge, and interpretive experience at our disposal, allows our students to enhance their appreciation for expressive possibility.",unknown
our particular strengths are in african american and native american studies.,unknown
"our areas of specialization within african american studies include slavery and abolition, the post-bellum, pre-harlem era, the harlem renaissance, and the chicago renaissance, along with the study of performances of race and gender, african american and black feminist criticism and theory, contemporary african american prose and poetry, and the craft of writing.",unknown
"our areas of specialization within native american studies include native american renaissance, contemporary native literatures of north america, native film, american indian literary nationalism, native women writers, and the relationship between native and chicano/a cultures at the u.s./mexico border.",unknown
graduate students in african american and multicultural studies can earn additional certificates in women’s studies and native american studies.,unknown
"students participate in a variety of opportunities to conduct research outside of the classroom, share their writing, and join networks of scholars and students across disciplines.",unknown
"research assistants for the crdl have published essays on african american literature, film, and culture for the new georgia encyclopedia and in reference volumes for national presses.",unknown
a resource page for graduate students working in native american literature has also been assembled: na grad links the university libraries contain many special collections in african american and multicultural american studies.,unknown
"finally, we provide access to such electronic resources as african american biographical databases, 19th-century african american newspapers, african american poetry, ethnic newswatch, and the native american studies subject guide.",unknown
the university of georgia department of english accepts into its m.a.,unknown
programs students who present a b.a.,unknown
students must also demonstrate reading knowledge of an approved foreign language.,unknown
general examination.,unknown
thesis project.,unknown
thesis project of about 50 pages is submitted for approval in the student's final semester of study.,unknown
it may be developed from a class paper or be the product of original research and study.,unknown
"all options require a written component, referred to institutionally as the thesis.",unknown
"once the thesis project is approved in final form, the student must pass a one-hour oral examination, given by the candidate's committee.",unknown
"in addition, applicants should provide supportive letters of recommendation and other evidence of scholastic achievement, including proficiency in writing.",unknown
students entering the program with the m.a.,unknown
advisory committee.,unknown
"ordinarily, the student who enters with an m.a.",unknown
the student who enters with a b.a.,unknown
some students move through the program at a faster pace.,unknown
research skills requirement.,unknown
"doctoral students must fulfill the research skills requirement, which can be done so--as detailed in the graduate student handbook--in a variety of ways.",unknown
the first way to to demonstrate reading knowledge of two foreign languages; the second way is to demonstrate proficiency (a higher level of language fluency) in one foreign language; the third way is to demonstrate reading knowledge of one foreign language and competence in specified research skills.,unknown
"the student's advisory committee must approve the language or languages offered, and the graduate committee must approve any proposed set of research skills (such a plan of study should involve substantial study taken at the graduate level outside the english department).",unknown
comprehensive examinations.,unknown
"no later than the end of the third year, the student will complete his or her written and oral comprehensive examinations.",unknown
the examinations cover three areas chosen from the approved areas listed in the graduate student handbook by the student and approved by the student's advisory committee.,unknown
"an oral portion of the exam provides time to follow up on the written component, as well as to discuss the items on the reading list.",unknown
"in addition, all students prepare a ""project description,"" which is a preliminary discussion on the students' dissertation topic.",unknown
"this is an 8-10 page document, with an accompanying annotated bibliography.",unknown
the project description defines a research question that is worth pursuing and demonstrates the student's ability to answer it.,unknown
the oral exam provides the opportunity for early feedback on the dissertation project.,unknown
the university of georgia offers the ph.d. in english with creative dissertation.,unknown
"rather, it gives students enrolled in an academic program the opportunity to do creative work.",unknown
6800: topics in form and craft (3 hours---maximum 9 hours)---an exploration of topics and issues around the act of writing.,unknown
please see the creative writing website for further information about the opportunities afforded to students who join us in the pursuit of their ph.d.,unknown
"""the new york school poets,"" ""mid-century moderns""), and approaches to american literature and popular culture (e.g.",unknown
“constructions of race in the american novel”).,unknown
"we are particularly strong in american modernism, southern literature, and multicultural and african american literature.",unknown
the varied demands of these assistantships bring valuable expertise to our students.,unknown
"our students have recently presented papers at national and international conferences on henry james (venice, italy); ernest hemingway (ronda, spain); richard aldington (les saintes maries-de-la-mer, france); charles brockden brown (new york); robert penn warren (bowling green, ky); toni morrison (cincinnatti); and new directions in american indian research (chapel hill).",unknown
